Structure [idcode]	Molecule Name	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	
fhiQ`@DXArRSLm}vkA^BuTsSUU@U@@	Compound 484	Hexobarbital		7.41	non-CNS	236.270	0.7534	-2.047	0.71247	5	1	176.19	0.39537	0.83766	17	225 <= x < 250	
daG@@@kdig|jVj`@	Compound 485	Histamine phosphate	9.79		non-CNS	111.147	-0.6912	-0.527	-2.8705	3	2	97.63	0.54293	0.65976	8	100 <= x < 125	
dcl`@@`nReeWZY]@``@@@	Compound 486	Hydralazine			non-CNS	160.180	1.3381	-2.295	1.2986	4	2	125.36	0.056501	0.68239	12	150 <= x < 175	
fhipS@IZCpSo@bBAA`cHhheHeTiFJlFBAXjVH@@	Compound 487	Hydrochlorothiazide			non-CNS	297.743	-0.3795	-2.539	-0.38834	7	3	177.54	0.29517	0.81578	17	275 <= x < 300	
ffka`@L`I{HhhdiLdeEEjrWAVR{HXmUUPUAUQP@@	Compound 488	Hydrocodone	9.17		CNS	299.369	1.9515	-3.14	0.71975	4	0	208.54	0.21053	1.0074	22	275 <= x < 300	
fbupR`LBCACo@BCADYALafPrRPjIKIJQRLDkRuA@TmU@@@	Compound 489	Hydroflumethiazide			non-CNS	331.295	-0.1372	-2.581	-0.14647	7	3	191.58	0.38527	0.8534	20	325 <= x < 350	
fjsa`@L`I{HhhdiLdeEEvRxJrWYCEjjjBhJhh@@	Compound 490	Hydromorphone	9.08		CNS	285.342	1.6758	-2.826	0.46175	4	1	192.63	0.21264	1.0013	21	275 <= x < 300	
fncqB@FZbtDPdrmj{NlkSdeP@@EUUUPPMP@	Compound 491	Hydroxychloroquine	9.76		non-CNS	335.877	3.0824	-3.552	0.72345	4	2	269.73	0.54193	0.75474	23	325 <= x < 350	
fjmI@@MFrTFQQQIKJJEKJLxFKTkRuKMTBAH	Compound 492	Hydroxystilbamidine isethionate	11.08		non-CNS	280.330	-0.5913	-2.227	-4.2688	5	4	226.67	0.18523	0.74185	21	275 <= x < 300	
fegPb@AI[LDPdrnsLjozkQgdqs@AUPTDUUDPxP@	Compound 493	Hydroxyzine	7.45		CNS	374.910	3.0698	-2.409	2.5115	4	1	294.47	0.4455	0.74025	26	350 <= x < 375	
fdq`q@MPQa`i@|J^FRRVQSEQYIjjZjj`@@	Compound 494	Ibandronate	9.92	0.79	non-CNS	303.231	-4.9749	0.286	-11.585	7	4	211.95	0.86149	0.64597	18	300 <= x < 325	
fhiQ@@AJAdTTTTTJtPeVBtuTttt@@	Compound 495	Ibudilast			non-CNS	230.310	2.0652	-3.397	2.0652	3	0	189.06	0.39272	0.82538	17	225 <= x < 250	
do|D@@QIn[WVeVj@BjHp`@	Compound 496	Ibuprofen		4.85	CNS	206.284	3.0025	-2.895	0.45321	2	1	172.9	0.65045	0.56446	15	200 <= x < 225	
fa}@`@@HRYUuUUUUVjjZZZZZAPUj]Qbp	Compound 497	Icosapent ethyl			non-CNS	330.510	7.4533	-4.607	7.4533	2	0	322.11	0.78942	0.42796	24	325 <= x < 350	
ebQXI@@DPA@hbaecl\bbbbbbVbRreVbfbQbSBfcebUSWpKPAD@SEUUSUUPT@@@	Compound 498	Idarubicin	9.95	8.02	non-CNS	497.498	1.164	-4.996	-0.39851	10	5	338.4	0.34839	1.0281	36	475 <= x < 500	
fhiQR@JLIIW``kDfYu[UV\MZejfjjh@@	Compound 499	Idoxuridine			non-CNS	354.095	-0.8884	-1.404	-0.97503	7	3	182.47	0.41501	0.78821	17	350 <= x < 375	
fak``@E@DdrnwMkkJtYxK^p@UUUU@@P@@	Compound 500	Ifenprodil	9.03		CNS	325.450	3.5003	-3.027	1.865	3	2	261.08	0.53128	0.70697	24	325 <= x < 350	
dg]DpLEnBHKpnHrIJJQYERmUMUUPU@@	Compound 501	Ifosfamide			non-CNS	261.088	1.0573	-1.895	1.0573	4	1	182.69	0.59423	0.6715	14	250 <= x < 275	
fegPr@L]``Ubs@DYIH]EDdeDdeL\eFcWKUjBBHJAbdP@@	Compound 502	Iguratimod		6.84	non-CNS	374.372	0.9932	-6.416	0.32647	8	2	265.28	0.40308	0.86856	26	350 <= x < 375	
fewHb@BTdVFPAFRSQIJIIQIKESK`gICD\vfj@@`JjTB`B`@	Compound 503	Ilaprazole			non-CNS	366.444	2.003	-4.672	2.0024	6	1	274.67	0.36345	0.83313	26	350 <= x < 375	
eodTBH@AOFLnk`ICHhdieeDeddeEDdUJNAIGOImh@bjjjjBBIa`@@	Compound 504	Iloperidone	8.53		CNS	426.486	4.3044	-5.154	3.6806	6	0	330.31	0.46591	0.82494	31	425 <= x < 450	
elZPJ@@@DAEcdfUV^UYwVu{g_DlbfafjihDJJjfjjxhA@qF`	Compound 505	Iloprost			non-CNS	478.627	5.5774	-7.581	5.5774	5	2	395.07	0.48147	0.81291	35	475 <= x < 500	
ejY^H@@DGLbjgdPDfVYU^uVyU[{WTlL|fnv^qIZ`@@Hj`hJbB@@`@@	Compound 506	Imatinib	7.84		non-CNS	493.613	3.9383	-4.383	3.0114	8	2	389.91	0.4557	0.81145	37	475 <= x < 500	
fakq@@DAjCHiiEEDddemCEZOduzuT@PAASHP@@	Compound 507	Imidafenacin	7.35		non-CNS	319.407	1.802	-1.453	1.5257	4	1	257.2	0.53528	0.73284	24	300 <= x < 325	
fdeH@@@Xx[IEEMDdd\iPRkZLDA@LUPP@@	Compound 508	Imiquimod	5.01		non-CNS	240.309	2.3108	-3.232	2.3065	4	1	188.48	0.25544	0.85699	18	225 <= x < 250	
ek`TL@@DO@AKDfUn]{VUUUZNEMLbnafiB@jjj@Jj@`LH@@	Compound 509	Indacaterol	9.71	8.51	non-CNS	392.497	2.8149	-4.424	0.49944	5	4	304.21	0.32757	0.87805	29	375 <= x < 400	
fakqa@IV]pQ`QA@cHhheHfieEEDbqT\m{A@lSUAPAD@t@@	Compound 510	Indapamide			non-CNS	365.840	1.9173	-3.93	1.9023	6	2	250.07	0.4355	0.82714	24	350 <= x < 375	
fhy``@F@ydbbRJbbTUFV]xMUU@PUCBE@@	Compound 511	Indeloxazine	8.19		CNS	231.294	1.5749	-2.521	0.71569	3	1	185.52	0.31365	0.72049	17	225 <= x < 250	
ekXzB@@DJCAm`@en\bbTTbbjVbrbbRbQTtRTTVULlfnIeiEuMZjjjjj`hFbB`B`BB@@@	Compound 512	Indinavir	6.76		non-CNS	613.800	2.8457	-3.323	2.559	9	4	476.03	0.51205	0.88694	45	600 <= x < 625	
fi{`R@IBjwhHaIe]nYe_VZLLzNX@IjA`bfb@@@	Compound 513	Indomethacin		3.79	CNS	357.792	4.0028	-5.396	0.40543	5	1	262.37	0.46695	0.90974	25	350 <= x < 375	
eodPF@@@ELbielbbdTRdTRbrJeQabdLt|lbBbZjijijjjfZj`HMh	Compound 514	Ingenol mebutate			non-CNS	430.539	2.661	-3.227	2.661	6	3	305.49	0.36646	1.0118	31	425 <= x < 450	
fopK@BVjYrRsW]xJrUYjlrJJJIQJJXzJJUIPibhHJbYjijjjbGh@	Compound 515	Iopamidol	-1.55	11	non-CNS	777.075	-1.1908	-4.215	-1.1909	11	8	376.28	0.61201	0.90425	31	775 <= x < 800	
fhq`c@BN|BlEVJkLbbbfbUbbYJBBbjZHZH@@	Compound 516	Iopanoic acid			non-CNS	570.921	2.9039	-5.418	-1.6412	3	2	237	0.60124	0.74421	17	550 <= x < 575	
ffm@b@DyAVYEEDeCdddeLf\`HJjjijHTh@@	Compound 517	Iophendylate			non-CNS	416.337	6.4768	-5.566	6.4768	2	0	288.15	0.54187	0.60895	22	400 <= x < 425	
ehX\IL@BGNkOBjfekg`PJqRlLkLbbbbbbTTVNRbjbraXt``jbYjjZjjh@@@	Compound 518	Ioversol	-1.36	11.72	non-CNS	807.101	-1.8211	-3.606	-1.8211	12	8	397.99	0.66291	0.91853	33	800 <= x < 825	
e`RVH@@DFMcgo`LbbbdRrRaRRJbbTVQCFabQRuswsUUUTDDPPLTpH@@	Compound 519	Irbesartan		5.85	non-CNS	428.538	4.0191	-6.887	0.90937	7	1	335.4	0.46467	0.8878	32	425 <= x < 450	
fhip`@DDh@RSKJnvhi^BuMSP@P@@	Compound 520	Isocarboxazid			CNS	231.254	0.3974	-2.67	0.39738	5	2	188.16	0.51663	0.59188	17	225 <= x < 250	
dmTLPDp`|HdLddJTTfjj`@	Compound 521	Isoflurophate			non-CNS	184.146	1.6783	-0.317	1.6783	3	0	137.66	0.72347	0.46052	11	175 <= x < 200	
def@@@Rf}ZjijHh@	Compound 522	Isometheptene	10.67		CNS	141.257	2.5353	-1.823	-0.73016	1	1	138.73	0.64724	0.54931	10	125 <= x < 150	
fe{Q@DDA@F\bfdTTRRRVtabeh~RuT@PAAUU@@@	Compound 523	Isopropamide			non-CNS	353.528	0.2241	-2.924	0.2241	3	1	289.4	0.64184	0.70798	26	350 <= x < 375	
detB@@[iRfUgJXZjjj@@	Compound 524	Isosorbide			non-CNS	146.141	-1.624	-0.416	-1.624	4	2	96.72	0	0.73271	10	125 <= x < 150	
f`qPHAHV@cGIF]zDxzt~{HhmEDdThJRmMUUUST@@	Compound 525	Isosorbide dinitrate			non-CNS	236.136	-2.2228	-2.286	-2.2228	10	0	151.36	0.38567	0.77499	16	225 <= x < 250	
dk^FAHALzSb\{HhmEDdQe]Zjjjh@@	Compound 526	Isosorbide mononitrate			non-CNS	191.138	-1.9234	-1.351	-1.9234	7	1	124.04	0.30967	0.72049	13	175 <= x < 200	
eh~qBD@G@bm`^]SQIDePHcRHrJJIJQYKZIIFIKJIKJIKJJKZIc`rsHjY[xFegTv@`jjjiX@Jjh@JfZhhb@@@	Compound 527	Itraconazole			non-CNS	705.645	5.1512	-7.305	5.1511	12	0	513.32	0.4556	0.92854	49	700 <= x < 725	
fkQ`@IJ@H^QQQQQI[ZZIJQIrLTYvRmRCPPAAUUT@@@	Compound 528	Ivacaftor			non-CNS	392.497	4.5032	-5.822	3.6129	5	3	303.38	0.40352	0.8591	29	375 <= x < 400	
elZTJH@LEG@jcdP@cIEDThidhimEDYDh]DlJ@hgojYfjijjjjfjjhBAb@	Compound 529	Ixabepilone			non-CNS	506.705	4.0051	-4.55	4.0051	7	3	393.42	0.42243	0.85009	35	500 <= x < 525	
facAP@@Dd{nQQQQJIYXiIIIbfiZjijjj`@@	Compound 530	Idebenone			CNS	338.442	3.9839	-3.287	3.9839	5	1	282.07	0.58744	0.81483	24	325 <= x < 350	
fkopp@DXt@UgIsdTTTTUbblTVRTrUF[NuUMTuSUP@P@@	Compound 531	Imidapril hydrochloride	5.22	3.49	non-CNS	405.449	-0.7236	-2.036	-4.6296	9	2	308.49	0.61782	0.82494	29	400 <= x < 425	
fns`a@OV\Bl[HYEDeeEDhhljeQaoAc@AUTuUUE@@@	Compound 532	Ioflupane	9.46		CNS	431.284	3.5911	-4.262	1.5323	3	0	261.76	0.48234	0.86592	23	425 <= x < 450	
ffcqb@ARCqNPUfQQQJJFJUKSIbmV|FBAhjefhh@@	Compound 533	Iomazenil			CNS	411.194	1.3102	-5.105	1.3102	6	0	241.6	0.19915	0.9224	22	400 <= x < 425	
ej^TFDLMchDLFna`@bHHpx[mirRRqQJKQQIIJQYiQQIJPsJZiYZBAb`eAZFjjh`@@	Compound 534	Isosulfan blue	4.91		non-CNS	543.683	-4.5258	-1.849	-14.436	8	0	395.05	0.46314	0.92373	37	525 <= x < 550	
eh\RM@@GHf`PLAEMOLnegoldTTRbRfLTLJTrbfRhdRJvNjjjjjjjjjjjh@@	Compound 535	Kanamycin	9.54		non-CNS	484.501	-7.4739	0.141	-9.8261	15	11	320.31	0.53088	0.92329	33	475 <= x < 500	
fewQb@AJeehHcHhdieHheEEhlgQa`~JN\@EUUTBr@TPyP@	Compound 536	Ketazolam			CNS	368.819	3.385	-4.008	3.385	5	0	260.94	0.26546	0.98481	26	350 <= x < 375	
ebQRBD@GLm`QIDdPHcRHrJJIJQYKZIIFIKJIKJL\FVYESK_@pDEUUUK@AUULTP@@	Compound 537	Ketoconazole	6.42		non-CNS	531.438	3.3639	-2.995	3.2768	8	0	384.42	0.44618	0.86492	36	525 <= x < 550	
fleA`@@QSdTTTRRTqfdcZ\t@@AELDKT@@	Compound 538	Ketoprofen		3.88	CNS	254.284	2.7003	-4.062	-0.81722	3	1	199.63	0.57491	0.66621	19	250 <= x < 275	
flua`@F@bgHhhhdhed]IVTYwf`dJbiahNH@@	Compound 539	Ketorolac		3.84	CNS	255.272	2.3688	-2.618	-1.1961	4	1	190.59	0.38144	0.807	19	250 <= x < 275	
dgmBPFE]NpBHBDiUf{jjjfX@@	Compound 540	L-cystine	9.34	1.56	non-CNS	240.303	-5.5478	-1.132	-11.391	6	4	166.24	0.87577	0.38376	14	225 <= x < 250	
fasQ`@DV@sRS\soZsljJS^mA@UUU@@@@@	Compound 541	Labetalol	9.8	8.05	non-CNS	328.411	1.7795	-2.932	-0.62345	5	4	261.99	0.61579	0.72855	24	325 <= x < 350	
fncAh@@XDkSoQsUnRJJIQISFJF[TdFMUUUUUUUP@@	Compound 542	Lactulose			non-CNS	342.296	-4.6102	0.682	-4.6108	11	8	218.99	0.50621	0.83229	23	325 <= x < 350	
eg`\BH@IDahFA@`@cIIdhhebddhdeeDdiiTt]\uTmUMP@UURT@EDEd@	Compound 543	Lafutidine	7.94	8.87	non-CNS	431.555	0.7516	-2.768	-0.086877	7	1	344.3	0.56317	0.69969	30	425 <= x < 450	
foAqb@NZ]ab`ABTsoLbakUUULmP@@	Compound 544	Lamivudine			non-CNS	229.259	-0.9483	-1.356	-0.9483	6	2	158.9	0.42245	0.73028	15	225 <= x < 250	
f`qhA@IZM[pH`dQdTTTraTQxHshH`@H`@@	Compound 545	Lamotrigine	5.89		CNS	256.096	1.596	-4.359	1.5832	5	2	177.18	0.39411	0.77933	16	250 <= x < 275	
fi{p``BTeCH@alavPGHYIMDdhdeDdfeIpSdabtuP@DAUTA@E@@	Compound 546	Lansoprazole			non-CNS	369.366	2.7087	-3.399	2.7038	5	1	256.67	0.398	0.8003	25	350 <= x < 375	
eaSRBL@IGNhRCjVPHbjPIBLbbbRRrbbRTTrUVbRrRTc@dSVWTrswtDDU@@@P@TuURp@`@@	Compound 547	Lapatinib	7.26		non-CNS	581.066	4.7281	-8.061	4.5145	8	2	424.92	0.40441	0.89007	40	575 <= x < 600	
eb^VIH@LBFNMJk@hdbagolP@cIEDeEKDhihxeihhhd\qqYyyeBcSUSUTsUSTC@SP@@@	Compound 548	Latamoxef		2.81	non-CNS	520.478	-1.3645	-1.822	-5.8443	15	4	351.17	0.48302	0.97193	36	500 <= x < 525	
eo`PJ@@@DOLflbbRbJRTTTJrfRbRBbn^ZjjZjjjj`@`BBR@	Compound 549	Latanoprost			non-CNS	432.599	5.1735	-4.891	5.1735	5	3	356.42	0.64616	0.73114	31	425 <= x < 450	
flePc@EILDD`bPqHYEHXdleMEDJPTuP@TsTd@@	Compound 550	Leflunomide			non-CNS	270.209	2.4636	-3.371	2.4632	4	1	192.4	0.50596	0.69969	19	250 <= x < 275	
ei[RBB@BEMEjfnfPICzPAdHYCHhhdiidheDeEDjdcHiTifAIEBeicj^XHDjjhJZBbj`BHhHIH@@	Compound 551	Letermovir	7.15	3.75	non-CNS	572.557	4.8615	-5.564	1.2134	8	1	405.38	0.3971	0.97193	41	550 <= x < 575	
ffch@@@RtFnQJIKJJJIIGIgOASg`@jhE@l`@@	Compound 552	Letrozole			non-CNS	285.309	2.4153	-6.97	2.4153	5	0	235.42	0.46715	0.77933	22	275 <= x < 300	
edR^N@@DJNAMOA`CNck`X\bbTTTQTjTRVTrbbJcGFeaUSUKUMT@DuSTu@@@	Compound 553	Leucovorin		3.32	non-CNS	473.445	-2.2121	-4.076	-6.4279	14	7	340.09	0.58449	0.86255	34	450 <= x < 475	
fjca@@@`rJIJYRIIIGJcIF\GtX@JjjjiJ`@@	Compound 554	Levallorphan	9.41		CNS	283.414	3.5759	-3.711	1.5646	2	1	219.44	0.33183	0.8878	21	275 <= x < 300	
fgAPB@LD@DISJJdhsakTuT@EDFD@@	Compound 555	Levamisole	6.98		non-CNS	204.296	1.692	-2.271	1.5534	2	0	150.8	0.34363	0.68976	14	200 <= x < 225	
dcMD@DTIrJJIPqTsUUMTEP@	Compound 556	Levetiracetam			CNS	170.211	-0.3649	-0.974	-0.3649	4	1	134.12	0.5628	0.67959	12	150 <= x < 175	
fnk@`@@YrJIJYJYJZIQFcIJlxJVfjjjjjnj@@	Compound 557	Levonorgestrel			non-CNS	312.451	3.538	-4.587	3.538	2	1	239.04	0.285	0.90219	23	300 <= x < 325	
flma@@@`rJIJYRIIIFcIF\GtX@Jjjjbh@@	Compound 558	Levorphanol	9.66		CNS	257.376	2.9007	-3.202	0.64244	2	1	193.4	0.25483	0.87896	19	250 <= x < 275	
fjmY@@DD]{IPILjoJzlmFFluSP@Tu|PhP@	Compound 559	Levosimendan		5.77	non-CNS	280.290	2.1411	-3.952	2.1397	7	2	228.31	0.37782	0.70075	21	275 <= x < 300	
el^QD@@DLMCKGLhPALbbbbbQTRRRTRbRrRtXdL|RjNA^QZjfjA`hJlJbfB`nH@@	Compound 560	Linagliptin	9.86		non-CNS	472.551	2.0304	-5.747	-0.43467	10	1	362.66	0.34751	0.96478	35	450 <= x < 475	
fmgPr@CYpqVoQ@DYHieELeBhiXhbepU^uUUUUSUUUP@@	Compound 561	Lincomycin	7.97		non-CNS	406.542	-0.2903	-1.558	-0.96392	8	5	295.48	0.57752	0.87495	27	400 <= x < 425	
dcL@X@bBbFbAbEbMbDfYnijjjj@@	Compound 562	Lindane			non-CNS	290.832	3.762	-4.112	3.762	0	0	167.52	0.38657	0.6452	12	275 <= x < 300	
flyq@@DTbAIefwYUPiZjjhHH@@@	Compound 563	Lisdexamfetamine	10.21		CNS	263.384	0.9356	-2.59	-1.8779	4	3	225.57	0.631	0.56169	19	250 <= x < 275	
eghTHH@EOA@HcHhdlieEdhhhheDcPqtlL]m]@AMUUP@PPA@@@@	Compound 564	Lofepramine	6.53		CNS	418.966	5.4568	-6.269	5.4018	3	0	327.87	0.51062	0.78589	30	400 <= x < 425	
fi{qa@BLKghpRBiCHhhhhhhdbdigNZ]DIXHbhjifibh^H@@	Compound 565	Lomefloxacin	8.7	5.45	non-CNS	351.352	-1.2243	-3.548	-2.9886	6	2	249.64	0.33163	0.92127	25	350 <= x < 375	
egXrJ@@DLMI`EJgd\bbbTVbaLRTTRtVVbfRRttTSD`vqKNmkUUSUUPTEELDD@QD@PPgHdfh@@	Compound 566	Lopinavir			non-CNS	628.811	4.847	-6.131	4.847	9	4	501.42	0.53474	0.84284	46	625 <= x < 650	
ehZVLHDNGHbeofna`H`jQnrJJIQYSJIIIKQUQIYbRqpKIJi{zBAbB`XiYjjbJ@`FP	Compound 567	Loprazolam	7.66		CNS	464.912	0.2829	-4.94	-0.46307	9	0	331.97	0.26711	0.95951	33	450 <= x < 475	
fakpR@BVcIVo@bLbbbTTtZTttRSABLwluULuMP@T@@@	Compound 568	Loracarbef	7.23	2.93	non-CNS	349.773	-2.431	-2.423	-6.7048	7	3	239.5	0.42992	0.87211	24	325 <= x < 350	
ffcPa@N^ldDQVHRYeg[f]Udg^bVBAbBhFHbBb@@	Compound 569	Lormetazepam			CNS	335.189	3.2401	-5.222	3.2399	4	1	232.49	0.25054	0.88404	22	325 <= x < 350	
eghVHH@DJIecki@HaIeeUvU}fV]HhbRFvNniZjjB@``XjA@@@	Compound 570	Losartan		5.85	non-CNS	422.919	3.9536	-4.986	0.84213	7	2	329.18	0.51153	0.86255	30	400 <= x < 425	
fnkqB@ARJhDPdrmrljjSfgQKfl@PuUEADD@@@	Compound 571	Loxapine	7.18		CNS	327.814	3.5564	-3.993	3.3534	4	0	242.31	0.24046	0.84556	23	325 <= x < 350	
fmgAQ@JLSMXIAD`dutnmkkjkJMxMUUUUUMUST@@	Compound 572	Lubiprostone		4.3	non-CNS	390.465	4.5278	-4.651	1.4319	5	2	293.1	0.55514	0.83603	27	375 <= x < 400	
fakQB@GYl@HrQQQQQIJDeJITyKq`t@PPLEUU@@@	Compound 573	Lucanthone	8.69		non-CNS	340.490	4.2624	-4.843	2.9469	3	1	268.34	0.43663	0.86118	24	325 <= x < 350	
emWRE@@Ekh^PAC@djmciU\bbbbbbbvfd|VbRbaJRRTtxtT|\JzFZAhJhjiijZjjjfb`@@	Compound 574	Lymecycline	9.77	2.51	non-CNS	602.639	-6.2313	-2.591	-13.229	14	9	419.6	0.49988	1.0737	43	600 <= x < 625	
figI@@DXutFQQQIJEJIZIIJFmGMQmzuUUUUA@qQ@@@	Compound 575	Lysuride	7.51		CNS	340.469	2.8201	-3.24	2.4605	5	2	263.32	0.41198	0.92768	25	325 <= x < 350	
ehXRA@@EMLb`DBCHjnilbfbRbRbRTTTKTrRRxDZfjjfjijZjj@@@	Compound 576	Laninamivir octanoate	11.54	13.68	non-CNS	472.537	-0.8395	-3.14	-5.4838	12	5	367.73	0.66293	0.88922	33	450 <= x < 475	
e`\\NH@FELmCK@jeg`@cIEHhbeDmhmEMDhdc`qqILm]}UUULtuTaTBU@@@	Compound 577	Lenampicillin hydrochloride	7.23	11.72	non-CNS	461.494	0.7427	-3.245	0.42209	10	2	315.4	0.38444	0.92418	32	450 <= x < 475	
f`aI@@DXEHBSJsLvf|uPLQP@@@	Compound 578	Lidamidine hydrochloride	7.84	10.84	non-CNS	220.275	1.1668	-2.466	1.1549	5	4	182.48	0.55925	0.58727	16	200 <= x < 225	
f`qQA@CVHBHEDYEEDeMCLfR]zBBbfhh\h@@	Compound 579	Lofexidine	9.27		CNS	259.135	2.202	-3.453	1.747	3	1	187.31	0.46421	0.68629	16	250 <= x < 275	
fli@s@LDUiw`ADOA@QdTbRTLVTVsUUSTuTJT@@	Compound 580	Malathion			non-CNS	330.361	2.0313	-2.531	2.0313	6	0	248.04	0.7407	0.65353	19	325 <= x < 350	
fjc`@@@YHleHhheDeckuoArdmUU@DP@T@@@	Compound 581	Maprotiline	10.54		CNS	277.410	3.7029	-3.566	0.55978	1	1	221.45	0.35205	0.87401	21	275 <= x < 300	
ejYZHD@ELcohY@IABPrJSIYSJJIIKSQQUQQSQcaHhYZ[[zFjjfjBBJjjifjJ`@@	Compound 582	Maraviroc	9.35		non-CNS	513.675	4.7438	-3.488	2.4659	6	1	391.24	0.46715	0.84897	37	500 <= x < 525	
fnmqP@DTrCWdmrJISJQQqQZJYjjjZjfj@@	Compound 583	Marimastat		8.61	non-CNS	331.411	-0.2222	-1.954	-0.24812	8	5	261.56	0.66975	0.7177	23	325 <= x < 350	
fb}QB@I^DBHrJIKJSQQIHtYjw`is@AUTC@EDNT@@	Compound 584	Mazindol			CNS	284.745	3.4206	-3.406	3.4205	3	1	198.99	0.25766	0.93423	20	275 <= x < 300	
ffcq`@LLxAGdfWeUWnUEHubuZfj@I`@@A@b@	Compound 585	Mebendazole		8.44	non-CNS	295.297	2.0676	-5.311	2.0676	6	2	223.17	0.38145	0.78295	22	275 <= x < 300	
dcn@@@Rfnfve]jjjj`@	Compound 586	Mecamylamine	10.88		non-CNS	167.295	1.9558	-2.325	-1.5203	1	1	134.1	0.24633	0.73034	12	150 <= x < 175	
daz@PLBHzHRUgjj`@	Compound 587	Mechlorethamine	6.08		non-CNS	156.055	1.1356	-1.209	1.1155	1	0	121.94	0.7878	0.59725	8	150 <= x < 175	
fcPB@AIADILklsJk~rmQgdqsM\@EUAPQP@QACa@@	Compound 588	Meclizine	7.71		CNS	390.956	5.4447	-4.362	4.6145	2	0	308.86	0.38556	0.76455	28	375 <= x < 400	
fluPB@AJADYEDeMDeELcSfgQS@DMPT@P@@	Compound 589	Medazepam	6.9		CNS	270.762	3.5508	-4.69	1.3798	2	0	207.99	0.29481	0.8024	19	250 <= x < 275	
fc@P@@UFoHhdihhiTiheBhiQbc^BdkSUUUUUULuT@@	Compound 590	Medroxyprogesterone			non-CNS	386.530	3.9495	-4.662	3.9495	4	0	286.31	0.3326	0.96627	28	375 <= x < 400	
fmo@P@@E{OHhdieDleMDhUEJ\eiwhyZZfjjjjfZj@@	Compound 591	Megestrol			non-CNS	370.487	3.4048	-4.274	3.4048	4	0	274.29	0.31435	0.96157	27	350 <= x < 375	
fleaB@CBAHILkmjroQ`Xp@SUUUD@@	Compound 592	Melperone	8.9		CNS	263.355	3.2362	-3.393	1.7245	2	0	215.24	0.52036	0.59413	19	250 <= x < 275	
dk\D@@wHhhhhbfESZAhD`@@	Compound 593	Menadione			non-CNS	172.183	1.8796	-2.966	1.8796	2	0	132.23	0.011544	0.73452	13	150 <= x < 175	
dmtH@@RYeeZZjjj@@	Compound 594	Menthol			non-CNS	156.268	2.4112	-2.501	2.4112	1	1	134.41	0.50837	0.61821	11	150 <= x < 175	
fdy``@O@Pdrtlnof|xKUUAPQP@@	Compound 595	Meperidine	8.16		CNS	247.337	2.0717	-2.188	1.2424	3	0	201.54	0.49653	0.68629	18	225 <= x < 250	
f`qP`@DXAqIfWnUrL]yjihHBHLH@@	Compound 596	Mephenytoin			CNS	218.255	1.5004	-2.174	1.5003	4	1	165.71	0.41666	0.78589	16	200 <= x < 225	
do]B@L\Dftf]i]Yjjji`@	Compound 597	Meprobamate			CNS	218.252	0.9953	-2.463	0.9953	6	2	176.01	0.70589	0.53731	15	200 <= x < 225	
fhia@@M@rJIJFQIJJcGA`@jjjbar`@	Compound 598	Meptazinol	9.16		CNS	233.354	2.9645	-2.529	1.1991	2	1	193.9	0.46953	0.75107	17	225 <= x < 250	
det``Dki@HRYYUnFVfZi@@	Compound 599	Mercaptopurine			non-CNS	152.181	-0.6589	-1.843	-0.66235	4	2	117.02	0.18132	0.80147	10	150 <= x < 175	
fewQA@AE`@HLDIUvmrsj}r|dZt\cft@QTDDUUDP@@	Compound 600	Mesoridazine	8.8		CNS	386.582	4.5579	-4.69	3.7015	3	0	286.41	0.40038	0.87115	26	375 <= x < 400	
fnk@`@@ErQSISISISQJUgEZ]zNZ@Bjjjjlj@@	Compound 601	Mestranol			non-CNS	310.435	4.0712	-4.767	4.0712	2	1	238.32	0.23462	0.8945	23	300 <= x < 325	
f`qa`@L@QqIe]YVRTMYjj`@jHDh@@	Compound 602	Metaxalone			CNS	221.255	1.6252	-2.928	1.6252	4	1	173.51	0.46721	0.58006	16	200 <= x < 225	
dmVDBNANeIggijjj`j@@	Compound 603	Methacholine			non-CNS	160.236	-2.7499	-0.123	-2.7499	3	0	134.69	0.47884	0.47958	11	150 <= x < 175	
e`\TA@@Ek`ACHbjmclbbbbbbbrLblQbRbgBfgcfWPsPMDUCUMMSUE@@@	Compound 604	Methacycline	5.36	7.23	non-CNS	442.423	-1.8578	-1.595	-8.9806	10	6	290.1	0.31289	1.0775	32	425 <= x < 450	
fnca@@H`RYiYgUY~]dIVjh@`B`hHFH@@	Compound 605	Methadone	9.12		CNS	309.451	3.5199	-2.852	1.7944	2	0	260.54	0.56502	0.73452	23	300 <= x < 325	
dmv@@@Rf~UeZj@@bJ@@	Compound 606	Methamphetamine	10.21		CNS	149.236	1.8054	-1.982	-1.0052	1	1	135.5	0.63504	0.55452	11	125 <= x < 150	
fi{a`DC@QXtiLllrrkWzjwjqZuU@E@EPU@@@	Compound 607	Methantheline			non-CNS	340.441	0.2449	-3.84	0.2449	4	0	267.47	0.46841	0.77811	25	325 <= x < 350	
dg\lPLXYaC@HhHrRRqIIZ\JuMMMA@h	Compound 608	Methazolamide		7.21	non-CNS	236.276	0.1901	-2.669	0.18266	7	1	153.1	0.41011	0.70798	14	225 <= x < 250	
